store_name,city,product_name,brand,category,price,original_price,currency,size,product_url,image_url,in_stock,scrape_timestamp
ChaseUp,Karachi,Qarshi Jam-E-Shirin Instant Syrup 1.5Ltr,Qarshi,Promotions > Packages & Promotion > Offers,799.0,825.0,PKR,1.5Ltr,https://www.chaseupgrocery.com/product/qarshi-jam-e-shirin-instant-syrup-15ltr-1-2712573,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000292460-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Chizzpa Chips Orginal 160gm,Chizzpa,Promotions > Packages & Promotion > Offers,1698.0,1887.0,PKR,160gm,https://www.chaseupgrocery.com/product/chizzpa-chips-orginal-160gm-2712576,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008270723-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Rooh Afza Instant Syrup Pet Bottle 3Ltr,Rooh Afza,Promotions > Packages & Promotion > Offers,1375.0,1475.0,PKR,3Ltr,https://www.chaseupgrocery.com/product/rooh-afza-instant-syrup-pet-bottle-3ltr-1-2712571,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000289240-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Rooh Afza Instant Syrup Pet Bottle 800Ml,Rooh Afza,Promotions > Packages & Promotion > Offers,429.0,475.0,PKR,800Ml,https://www.chaseupgrocery.com/product/rooh-afza-instant-syrup-pet-bottle-800ml-1-2712569,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000287771-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Hilal Candeez Khopra Candy Pouch 35Pcs,Hilal,Promotions > Packages & Promotion > Offers,59.0,,PKR,35Pcs,https://www.chaseupgrocery.com/product/hilal-candeez-khopra-candy-pouch-35pcs-2-2716302,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000382609.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Qarshi Jam-E-Shirin Instant Syrup 3Ltr,Qarshi,Promotions > Packages & Promotion > Offers,1390.0,1485.0,PKR,3Ltr,https://www.chaseupgrocery.com/product/qarshi-jam-e-shirin-instant-syrup-3ltr-1-2712574,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000287660-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Hilal Jiggles Xl Dolphin Jellyshare Pack Rs 50,Hilal,Promotions > Packages & Promotion > Offers,48.0,,PKR,,https://www.chaseupgrocery.com/product/hilal-jiggles-xl-dolphin-jellyshare-pack-rs-50-2716303,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008129206.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Chizzpa Chips Barbeque 160gm,Chizzpa,Promotions > Packages & Promotion > Offers,1698.0,1887.0,PKR,160gm,https://www.chaseupgrocery.com/product/chizzpa-chips-barbeque-160gm-2712575,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008270727-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Bisconni Chip Hop Chocolate Cookies Rs 30,Bisconni,Promotions > Packages & Promotion > Offers,26.0,,PKR,,https://www.chaseupgrocery.com/product/bisconni-chip-hop-chocolate-cookies-rs-30-2716299,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008052015.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Hilal Bake Time Fruit Slice Cake,Hilal,Promotions > Packages & Promotion > Offers,35.0,,PKR,,https://www.chaseupgrocery.com/product/hilal-bake-time-fruit-slice-cake-1-2716300,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000297828.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Rooh Afza Instant Syrup Pet Bottle 1.5Ltr,Rooh Afza,Promotions > Packages & Promotion > Offers,769.0,795.0,PKR,1.5Ltr,https://www.chaseupgrocery.com/product/rooh-afza-instant-syrup-pet-bottle-15ltr-1-2712570,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000287772-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Bisconni Perfetto Cookies Rs 20,Bisconni,Promotions > Packages & Promotion > Offers,19.0,,PKR,,https://www.chaseupgrocery.com/product/bisconni-perfetto-cookies-rs-20-1-2716297,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008106155.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Pf Rio Strawberry Vanilla Biscuit Munch Pack Rs 30,Peak Freans,Promotions > Packages & Promotion > Offers,29.0,,PKR,,https://www.chaseupgrocery.com/product/pf-rio-strawberry-vanilla-biscuit-munch-pack-rs-30-1-2716289,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000678742.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Pk Beef Kofta 500Gm,Pk,Promotions > Packages & Promotion > Offers,811.0,886.0,PKR,500Gm,https://www.chaseupgrocery.com/product/pk-beef-kofta-500gm-2-2712449,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000290635-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Pk Spring Chicken Popcorn 900Gm,Pk,Promotions > Packages & Promotion > Offers,889.0,949.0,PKR,900Gm,https://www.chaseupgrocery.com/product/pk-spring-chicken-popcorn-900gm-2-2712464,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000447266-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Pk Home Style Crispy Wings 300Gm,Pk,Promotions > Packages & Promotion > Offers,460.0,495.0,PKR,300Gm,https://www.chaseupgrocery.com/product/pk-home-style-crispy-wings-300gm-1-2712480,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008028758-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Big Bird Chicken Jalapeno 1250Gm,Big Bird,Promotions > Packages & Promotion > Offers,1174.0,1374.0,PKR,1250Gm,https://www.chaseupgrocery.com/product/big-bird-chicken-jalapeno-1250gm-10538530-1-2712427,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008240456-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Big Bird Chicken Samosa 432Gm,Big Bird,Promotions > Packages & Promotion > Offers,671.0,821.0,PKR,432Gm,https://www.chaseupgrocery.com/product/big-bird-chicken-samosa-432gm-10538517-1-2712421,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008240443-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Big Bird Chicken Kofta 672Gm,Big Bird,Promotions > Packages & Promotion > Offers,885.0,985.0,PKR,672Gm,https://www.chaseupgrocery.com/product/big-bird-chicken-kofta-672gm-10538526-1-2712425,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008240452-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Chaseup Plain Paratha F/P 30Pcs,Chase Up,Promotions > Packages & Promotion > Offers,899.0,999.0,PKR,30Pcs,https://www.chaseupgrocery.com/product/chaseup-plain-paratha-fp-30pcs-4-2712415,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000451397-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Blue Band Margarine Tub 475Gm,Blue  Band,Promotions > Packages & Promotion > Offers,920.0,920.0,PKR,475Gm,https://www.chaseupgrocery.com/product/blue-band-margarine-tub-475gm-2-2712416,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000671678-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Dawn Chicken Nuggets 1Kg,Dawn,Promotions > Packages & Promotion > Offers,990.0,1070.0,PKR,1Kg,https://www.chaseupgrocery.com/product/dawn-chicken-nuggets-1kg-2-2712435,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000291344-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Pk Home Style Crispy Hot Shots 600Gm,Pk,Promotions > Packages & Promotion > Offers,870.0,945.0,PKR,600Gm,https://www.chaseupgrocery.com/product/pk-home-style-crispy-hot-shots-600gm-1-2712471,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008028762-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Pk Home Style Crispy Chicken 4Pcs,Pk,Promotions > Packages & Promotion > Offers,800.0,835.0,PKR,4Pcs,https://www.chaseupgrocery.com/product/pk-home-style-crispy-chicken-4pcs-1-2712478,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008028648-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Menu Chicken Croquettes Poly Bag 1Kg,Menu,Promotions > Packages & Promotion > Offers,919.0,999.0,PKR,1Kg,https://www.chaseupgrocery.com/product/menu-chicken-croquettes-poly-bag-1kg-1-2712447,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008051831-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Pk School Chicken Nuggets 800Gm,Pk,Promotions > Packages & Promotion > Offers,987.0,1062.0,PKR,800Gm,https://www.chaseupgrocery.com/product/pk-school-chicken-nuggets-800gm-1-2712462,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000296456-189.jpg,True,2026-03-09T18:31:59+00:00
ChaseUp,Karachi,Pk Spring Chicken Kofta 900Gm,Pk,Promotions > Packages & Promotion > Offers,925.0,985.0,PKR,900Gm,https://www.chaseupgrocery.com/product/pk-spring-chicken-kofta-900gm-2-2712468,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000447270-189.jpg,True,2026-03-09T18:31:59+00:00
